date,tournament,event,weapon,event gender,rating restriction,age restriction,event rating,event size,place,competitor last name,competitor first name,club,usfa_number,rating before event,rating earned
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,1,Zaroff,Roxanne,San Francisco Fencers Club,100143081,B2017,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,2,Lau,Sydnee,Massialas Foundation (m Team),100133012,B2017,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,3,Tran,Kaitlyn,Massialas Foundation (m Team),100119266,C2014,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,3,Hobson,Leena,Massialas Foundation (m Team),100168095,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,5,Kosai,Jordyn,San Francisco Fencers Club,100142554,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,6,Ratsep,Ariel,San Francisco Fencers Club,100161272,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,7,Pelton,Eliya,En Garde Fencing - California,100225581,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,8,Lee,Caitlin,Academy of Fencing Masters,100148937,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,9,Robbins,Sophie,North Bay Fencing Academy,100228418,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,10,Liang,Zixuan,San Francisco Fencers Club,100170522,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Junior (U20) Women's Foil,Foil,Women,Open,Junior (U20),E1,11,11,Hong,Angela,Marin Fencing Academy,100231397,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Senior Women's Foil,Foil,Women,Open,Senior,E1,7,1,Lau,Sydnee,Massialas Foundation (m Team),100133012,B2017,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Senior Women's Foil,Foil,Women,Open,Senior,E1,7,2,Ratsep,Ariel,San Francisco Fencers Club,100161272,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Senior Women's Foil,Foil,Women,Open,Senior,E1,7,3,Lee,Caitlin,Academy of Fencing Masters,100148937,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Senior Women's Foil,Foil,Women,Open,Senior,E1,7,3,Kosai,Jordyn,San Francisco Fencers Club,100142554,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Senior Women's Foil,Foil,Women,Open,Senior,E1,7,5,Hobson,Leena,Massialas Foundation (m Team),100168095,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Senior Women's Foil,Foil,Women,Open,Senior,E1,7,6,Liang,Zixuan,San Francisco Fencers Club,100170522,U,
10/01/2017,Bay Cup at EGF: JWF2 WF2,Senior Women's Foil,Foil,Women,Open,Senior,E1,7,7,Walbert,Charlotte,Marin Fencing Academy,100190106,U,
